Cow,Ingredient,AF_Qty,AF_Head,DM_fract,DM_Qty,DM_Head,Pen_old,Pen,Cow_amount,Cow_n,Year,Month,month,Days in month, Moisture, Dry_Matter, pH, CP, ADF, aNDF, Lignin, Starch, ESC(Sugar), WSC(Sugar), EE(Fat), TFA(Fat), Ash,C%,OM
dairy,KFK8-B MIX,3524,3524,0.47,1656,1656.28,D9-80-6681,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4156,4156,0.47,1953,1953.32,D9-81-6667,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,3821,3821,0.47,1796,1795.87,D9-82-6665,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,3865,3865,0.47,1817,1816.55,D9-83-6653,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4267,4267,0.47,2005,2005.49,D9-84-6643,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,3963,3963,0.47,1863,1862.61,D9-85-6637,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4952,4952,0.47,2327,2327.44,D9-86-6602,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,2719,2719,0.47,1278,1277.93,D9-87-6484,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4204,4204,0.47,1976,1975.88,D9-88-6873,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,3983,3983,0.47,1872,1872.01,D9-89-6855,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,3619,3619,0.47,1701,1700.93,D9-90-6853,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
